stop_code,stop_name,address,routes,url
Q6 095,"Trạm xe buýt [Q6 095] Chu Văn An, Quận 6","27 Tháp Mười, Quận 6, Tp.Hồ Chí Minh","01, 05, 07, 10, 25, 47, 54, 56, 144, 150",https://xebuyt.net/1-chu-van-an
Q5 060,"Trạm xe buýt [Q5 060] Chung cư Nguyễn Trãi, Quận 5","549 Nguyễn Trãi, Quận 5, Tp.Hồ Chí Minh","01, 54",https://xebuyt.net/10-chung-cu-nguyen-trai
Q11 001,"Trạm xe buýt [Q11 001] Nhà sách Phú Thọ, Quận 11","940 (6B) Đường 3/2, Quận 11, Tp.Hồ Chí Minh","02, 14, 27, 103",https://xebuyt.net/100-nha-sach-phu-tho
QTB 061,"Trạm xe buýt [QTB 061] Hồ Bơi Cộng Hòa, Quận Tân Bình","1003 Cách Mạng Tháng Tám, Quận Tân Bình, Tp.Hồ Chí Minh","30, 65, 103",https://xebuyt.net/1000-ho-boi-cong-hoa
QTB 063,"Trạm xe buýt [QTB 063] Bành Văn Trân, Quận Tân Bình","771 Cách Mạng Tháng Tám, Quận Tân Bình, Tp.Hồ Chí Minh","30, 65, 103",https://xebuyt.net/1001-banh-van-tran
QTB 062,"Trạm xe buýt [QTB 062] Ông Tạ, Quận Tân Bình","907 Cách Mạng Tháng Tám, Quận Tân Bình, Tp.Hồ Chí Minh","30, 65, 103",https://xebuyt.net/1002-ong-ta
Q10 083,"Trạm xe buýt [Q10 083] Công Viên Lê Thị Riêng, Quận 10","Công Viên Lê Thị Riêng Cách Mạng Tháng Tám, Quận 10, Tp.Hồ Chí Minh","13, 30, 65, 103",https://xebuyt.net/1003-cong-vien-le-thi-rieng
Q10 062,"Trạm xe buýt [Q10 062] Ngân hàng quân đội, Quận 10","136 Tô Hiến Thành, Quận 10, Tp.Hồ Chí Minh","38, 59, 69, 103",https://xebuyt.net/1007-ngan-hang-quan-doi
Q10 060,"Trạm xe buýt [Q10 060] BV Trưng Vương, Quận 10","142 kios 37-38 Tô Hiến Thành, Quận 10, Tp.Hồ Chí Minh","38, 59, 69, 103",https://xebuyt.net/1008-bv-trung-vuong
Q11 002,"Trạm xe buýt [Q11 002] Lãnh Binh Thăng, Quận 11","970 Đường 3/2, Quận 11, Tp.Hồ Chí Minh","02, 14, 103",https://xebuyt.net/101-lanh-binh-thang
Q5 022,"Trạm xe buýt [Q5 022] Bến xe Chợ Lớn, Quận 5","266 Hồng Bàng, Quận 5, Tp.Hồ Chí Minh","23, 66, 103, 139",https://xebuyt.net/1010-ben-xe-cho-lon
Q1 148,"Trạm xe buýt [Q1 148] Chùa Lâm Tế, Quận 1","Đối diện 211 (212A) Nguyễn Trãi, Quận 1, Tp.Hồ Chí Minh","11, 46",https://xebuyt.net/1012-chua-lam-te
Q10 061,"Trạm xe buýt [Q10 061] Đại Học Bách Khoa (cổng sau), Quận 10","350 ( cũ 142) Tô Hiến Thành, Quận 10, Tp.Hồ Chí Minh","38, 59, 69, 103",https://xebuyt.net/1013-dai-hoc-bach-khoa-cong-sau
Q11 025,"Trạm xe buýt [Q11 025] Đường 3/2, Quận 11","170-172 Lê Đại Hành, Quận 11, Tp.Hồ Chí Minh","11, 62",https://xebuyt.net/1014-duong-3-2
Q11 083,"Trạm xe buýt [Q11 083] Trạm Trần Quý - Tạ Uyên, Quận 11","193 Tạ Uyên, Quận 11, Tp.Hồ Chí Minh","23, 103, 144",https://xebuyt.net/1015-tram-tran-quy-ta-uyen
Q11 033,"Trạm xe buýt [Q11 033] Cổng chào CV Đầm sen, Quận 11","20 Lãnh Binh Thăng, Quận 11, Tp.Hồ Chí Minh","11, 62",https://xebuyt.net/1016-cong-chao-cv-dam-sen
Q5 080,"Trạm xe buýt [Q5 080] Tạ Uyên, Quận 5","79 Tạ Uyên, Quận 5, Tp.Hồ Chí Minh","23, 66, 96, 103",https://xebuyt.net/1017-ta-uyen
Q11 035,"Trạm xe buýt [Q11 035] CV Lãnh Binh Thăng, Quận 11","Đối diện Trường mầm non (278) Lãnh Binh Thăng, Quận 11, Tp.Hồ Chí Minh","11, 23, 62",https://xebuyt.net/1018-cv-lanh-binh-thang
Q1 149,"Trạm xe buýt [Q1 149] City plaza, Quận 1","230 Nguyễn Trãi, Quận 1, Tp.Hồ Chí Minh","11, 46",https://xebuyt.net/1019-city-plaza
Q11 040,"Trạm xe buýt [Q11 040] Tòa án nhân dân Q11, Quận 11","150 Ông Ích Khiêm, Quận 11, Tp.Hồ Chí Minh","11, 23, 62, 69",https://xebuyt.net/1020-toa-an-nhan-dan-q11
Q1 140,"Trạm xe buýt [Q1 140] Nguyễn Trãi, Quận 1","Đối diện số 205 - 207 Nguyễn Văn Cừ, Quận 1, Tp.Hồ Chí Minh","11, 45, 56, 96, 139",https://xebuyt.net/1021-nguyen-trai
BX91,"Trạm xe buýt [BX91] BÃI XE BUÝT ĐẦM SEN, Quận 11","BÃI XE BUÝT ĐẦM SEN Hòa Bình, Quận 11, Tp.Hồ Chí Minh","11, 15, 38, 64",https://xebuyt.net/1022-bai-xe-buyt-dam-sen
Q11 034,"Trạm xe buýt [Q11 034] Chợ Phú Thọ, Quận 11","134 Lãnh Binh Thăng, Quận 11, Tp.Hồ Chí Minh","11, 62",https://xebuyt.net/1023-cho-phu-tho
Q11 036,"Trạm xe buýt [Q11 036] Nhà văn hóa Quận 11, Quận 11","284 Lãnh Binh Thăng, Quận 11, Tp.Hồ Chí Minh","11, 23, 62",https://xebuyt.net/1024-nha-van-hoa-quan-11
Q9 214,"Trạm xe buýt [Q9 214] Ngã 4 Bình Thái, Quận 9","Kho 71 Xa Lộ Hà Nội, Quận 9, Tp.Hồ Chí Minh","12, 30, 52, 55, 60, 104, 150",https://xebuyt.net/1025-nga-4-binh-thai
Q9 216,"Trạm xe buýt [Q9 216] Bê tông Hải Âu, Quận 9","Bê tông Hải Âu Xa Lộ Hà Nội, Quận 9, Tp.Hồ Chí Minh","12, 30, 52, 55, 60, 104, 150",https://xebuyt.net/1026-be-tong-hai-au
Q11 037,"Trạm xe buýt [Q11 037] Chợ Lãnh Binh Thăng, Quận 11","308-310 Lãnh Binh Thăng, Quận 11, Tp.Hồ Chí Minh","11, 23, 62",https://xebuyt.net/1027-cho-lanh-binh-thang
Q9 217,"Trạm xe buýt [Q9 217] Ngã 4 Thủ Đức, Quận 9","712 Xa Lộ Hà Nội, Quận 9, Tp.Hồ Chí Minh","12, 30, 52, 55, 60, 104, 150",https://xebuyt.net/1028-nga-4-thu-duc
Q11 043,"Trạm xe buýt [Q11 043] Bãi xe buýt Đầm Sen, Quận 11","40A Hòa Bình, Quận 11, Tp.Hồ Chí Minh","11, 15, 23, 38, 62, 69, 144",https://xebuyt.net/1029-bai-xe-buyt-dam-sen
Q11 003,"Trạm xe buýt [Q11 003] Chợ Thiết, Quận 11","1114A-1116A Đường 3/2, Quận 11, Tp.Hồ Chí Minh","02, 14, 103",https://xebuyt.net/103-cho-thiet
Q9 215,"Trạm xe buýt [Q9 215] UBND quận 9, Quận 9","1B Xa Lộ Hà Nội, Quận 9, Tp.Hồ Chí Minh","12, 30, 52, 55, 60, 104, 150",https://xebuyt.net/1030-ubnd-quan-9
QTD 084,"Trạm xe buýt [QTD 084] Đại học Sư Phạm Kỹ Thuật, Quận Thủ Đức","116/6 Lê Văn Chí, Quận Thủ Đức, Tp.Hồ Chí Minh","53, 89, 104",https://xebuyt.net/1031-dai-hoc-su-pham-ky-thuat
QTD 094,"Trạm xe buýt [QTD 094] Ngã ba Lê Văn Chí, Quận Thủ Đức","225 Hoàng Diệu 2, Quận Thủ Đức, Tp.Hồ Chí Minh",104,https://xebuyt.net/1032-nga-ba-le-van-chi
QTD 085,"Trạm xe buýt [QTD 085] Nhà máy nước Thủ Đức, Quận Thủ Đức","Nhà máy nước Thủ Đức Lê Văn Chí, Quận Thủ Đức, Tp.Hồ Chí Minh","89, 104",https://xebuyt.net/1033-nha-may-nuoc-thu-duc
QTD 095,"Trạm xe buýt [QTD 095] Tô Vĩnh Diện, Quận Thủ Đức","151 Hoàng Diệu 2, Quận Thủ Đức, Tp.Hồ Chí Minh",104,https://xebuyt.net/1035-to-vinh-dien
QTD 226,"Trạm xe buýt [QTD 226] Hoàng Diệu 2, Quận Thủ Đức","40 Đường số 7, Quận Thủ Đức, Tp.Hồ Chí Minh",104,https://xebuyt.net/1036-hoang-dieu-2
QTD 103,"Trạm xe buýt [QTD 103] Ngã ba Linh Trung đường số 6, Quận Thủ Đức","94A Đường số 6, Quận Thủ Đức, Tp.Hồ Chí Minh",104,https://xebuyt.net/1037-nga-ba-linh-trung-duong-so-6
QTD 104,"Trạm xe buýt [QTD 104] Ngã ba đường 14, Quận Thủ Đức","62-64 Đường Số 6, Quận Thủ Đức, Tp.Hồ Chí Minh",104,https://xebuyt.net/1038-nga-ba-duong-14
QTD 105,"Trạm xe buýt [QTD 105] Đường số 14, Quận Thủ Đức","18 Đường số 14, Quận Thủ Đức, Tp.Hồ Chí Minh",104,https://xebuyt.net/1039-duong-so-14
Q11 005,"Trạm xe buýt [Q11 005] Đội Giao Thông Phú Lâm, Quận 11","1274 Đường 3/2, Quận 11, Tp.Hồ Chí Minh","02, 14",https://xebuyt.net/104-doi-giao-thong-phu-lam
QTD 171,"Trạm xe buýt [QTD 171] ĐH Kinh tế Luật, Quận Thủ Đức","Đối diện 665 Quốc lộ 1, Quận Thủ Đức, Tp.Hồ Chí Minh","19, 33, 50, 93, 104",https://xebuyt.net/1040-dh-kinh-te-luat
QTD 172,"Trạm xe buýt [QTD 172] Công ty điện tử Samsung, Quận Thủ Đức","Công ty điện tử Samsung Quốc lộ 1, Quận Thủ Đức, Tp.Hồ Chí Minh","19, 33, 50, 93, 104",https://xebuyt.net/1041-cong-ty-dien-tu-samsung
QTD 173,"Trạm xe buýt [QTD 173] ĐH Nông Lâm, Quận Thủ Đức","Cột điện SI 2 Quốc lộ 1, Quận Thủ Đức, Tp.Hồ Chí Minh","19, 33, 50, 93, 104",https://xebuyt.net/1042-dh-nong-lam
Q11 047,"Trạm xe buýt [Q11 047] Ngã 4 Hòa Bình, Quận 11","3 (79) Hòa Bình, Quận 11, Tp.Hồ Chí Minh","11, 15, 23, 38, 62, 69, 144",https://xebuyt.net/1043-nga-4-hoa-binh
Q11 041,"Trạm xe buýt [Q11 041] Tòa án nhân dân Q11, Quận 11","85 Ông Ích Khiêm, Quận 11, Tp.Hồ Chí Minh","11, 23, 62, 69",https://xebuyt.net/1044-toa-an-nhan-dan-q11
Q11 042,"Trạm xe buýt [Q11 042] Ông Ích Khiêm, Quận 11","43 Ông Ích Khiêm, Quận 11, Tp.Hồ Chí Minh","11, 23, 62, 69",https://xebuyt.net/1045-ong-ich-khiem
